category,brand,model,price,subCategory,stability,cushion,fit,heelStack,foreFootStack,midsoleDrop,weight,plate,plateDescription,description,images,cardImage,viewLink,note
Running Shoes,Nike,Air Zoom Pegasus 40,129.99,Road Running,Neutral,Responsive,Standard,38.5,28.5,10,280,None,,Versatile daily trainer perfect for all runners,"https://example.com/pegasus-1.jpg,https://example.com/pegasus-2.jpg",https://example.com/pegasus-card.jpg,https://nike.com/pegasus-40,Great for daily training
Trail Running,Salomon,Speedcross 5,130,Trail,Stable,Firm,Narrow,33,23,10,320,None,,Aggressive trail runner with excellent grip,"https://example.com/speedcross-1.jpg,https://example.com/speedcross-2.jpg",https://example.com/speedcross-card.jpg,https://salomon.com/speedcross-5,Best for muddy trails
Running Shoes,Hoka,Clifton 9,140,Road Running,Neutral,Plush,Wide,33,28,5,245,None,,Maximalist cushioning for long runs,"https://example.com/clifton-1.jpg,https://example.com/clifton-2.jpg",https://example.com/clifton-card.jpg,https://hoka.com/clifton-9,Lightweight and cushioned
Running Shoes,Adidas,Adizero Adios Pro 3,225,Racing,Neutral,Responsive,Standard,39.5,31.5,8,215,Carbon Fiber,Full-length carbon plate,Elite racing shoe with carbon plate,"https://example.com/adios-1.jpg,https://example.com/adios-2.jpg",https://example.com/adios-card.jpg,https://adidas.com/adios-pro-3,Marathon racing shoe
Basketball,Nike,Air Jordan 1 High,170,High Top,Neutral,Firm,Standard,,,,,None,,Classic basketball sneaker with iconic design,"https://example.com/jordan-1.jpg,https://example.com/jordan-2.jpg",https://example.com/jordan-card.jpg,https://nike.com/air-jordan-1,Retro colorways available
Running Shoes,Brooks,Ghost 15,140,Road Running,Neutral,Balanced,Standard,33,23,12,283,None,,Smooth and reliable daily trainer,"https://example.com/ghost-1.jpg,https://example.com/ghost-2.jpg",https://example.com/ghost-card.jpg,https://brooks.com/ghost-15,Popular among runners
Trail Running,Altra,Lone Peak 7,135,Trail,Neutral,Balanced,Wide,25,25,0,283,None,,Zero-drop trail shoe with wide toe box,"https://example.com/lonepeak-1.jpg,https://example.com/lonepeak-2.jpg",https://example.com/lonepeak-card.jpg,https://altra.com/lone-peak-7,Zero drop design
Running Shoes,New Balance,Fresh Foam X 1080v13,165,Road Running,Neutral,Plush,Standard,30,22,8,272,None,,Premium cushioned daily trainer,"https://example.com/1080-1.jpg,https://example.com/1080-2.jpg",https://example.com/1080-card.jpg,https://newbalance.com/1080v13,High mileage trainer
Running Shoes,Asics,Gel-Nimbus 25,160,Road Running,Neutral,Soft,Wide,36.5,28.5,8,290,None,,Maximum cushioning for comfort,"https://example.com/nimbus-1.jpg,https://example.com/nimbus-2.jpg",https://example.com/nimbus-card.jpg,https://asics.com/nimbus-25,Best for recovery runs
Running Shoes,Saucony,Endorphin Speed 3,170,Tempo,Neutral,Responsive,Standard,36,28,8,227,Nylon Plate,Full-length nylon plate,Versatile tempo shoe with plate,"https://example.com/speed-1.jpg,https://example.com/speed-2.jpg",https://example.com/speed-card.jpg,https://saucony.com/endorphin-speed-3,Great for speedwork
